tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,directors
tt0115709,Blood Money,1996,90,"['Crime', 'Mystery', 'Thriller']",3.0,233.0,['nm0792018']
tt0115740,The Boy from Mercury,1996,87,"['Drama', 'Family']",7.3,106.0,['nm0240582']
tt0115755,Brigands-Chapter VII,1996,129,"['Comedy', 'Drama']",7.1,339.0,['nm0409646']
tt0115756,Brilliant Lies,1996,94,['Drama'],6.0,358.0,['nm0002207']
tt0115836,Carpool,1996,89,['Comedy'],5.0,5137.0,['nm0002137']
tt0115851,Celtic Pride,1996,91,"['Comedy', 'Sport']",5.3,10376.0,['nm0213726']
tt0115852,Centerfold,1996,86,['Drama'],4.5,115.0,['nm0003917']
tt0115855,Festival,1996,108,['Drama'],7.2,169.0,['nm0407990']
tt0115887,Chinese Chocolate,1995,95,['Drama'],5.0,128.0,['nm0191285']
tt0115925,Color of a Brisk and Leaping Day,1996,87,['Drama'],6.1,176.0,['nm0618405']
tt0115934,La Comédie-Française ou L'amour joué,1996,223,['Documentary'],6.7,59.0,['nm0936464']
tt0115940,A Summer's Tale,1996,113,"['Comedy', 'Drama', 'Romance']",7.6,9344.0,['nm0006445']
tt0115950,Things I Never Told You,1996,93,"['Comedy', 'Drama', 'Romance']",6.7,1547.0,['nm0170043']
tt0115973,Le cri de la soie,1996,110,"['Drama', 'Romance']",6.7,172.0,['nm0545701']
tt0115996,Cwal,1996,104,"['Comedy', 'Drama', 'History']",6.6,344.0,['nm0953130']
tt0116039,Day of the Warrior,1996,96,"['Action', 'Adventure', 'Thriller']",3.7,1467.0,['nm0796477']
tt0116068,Intimate Crimes,1996,82,"['Crime', 'Mystery', 'Thriller']",5.8,52.0,['nm0266735']
tt0116069,"Delphine 1, Yvan 0",1996,91,"['Comedy', 'Romance']",5.3,512.0,['nm0268543']
tt0116097,Diamond Run,1996,110,"['Action', 'Crime']",4.6,82.0,['nm0316151']
tt0116146,Drinking Games,1998,94,['Drama'],6.0,138.0,['nm0493256']
tt0116164,Regular Guys,1996,102,"['Comedy', 'Crime', 'Romance']",6.8,1479.0,['nm0797841']
tt0116192,The Empty Mirror,1996,118,"['Drama', 'History', 'War']",5.6,346.0,['nm0380922']
tt0116198,Encore,1996,96,"['Comedy', 'Drama', 'Romance']",6.0,147.0,['nm0094726']
tt0116229,Esercizi di stile,1996,80,"['Comedy', 'Drama', 'Thriller']",4.8,53.0,"['nm0162952', 'nm0207435', 'nm0217290', 'nm0289576', 'nm0408644', 'nm0490721', 'nm0536238', 'nm0585747', 'nm0598102', 'nm0686074', 'nm0702959', 'nm0728271', 'nm0741124', 'nm0868932']"
tt0116259,Extreme Measures,1996,118,"['Crime', 'Drama', 'Mystery']",6.2,20249.0,['nm0000776']
tt0116260,Eye for an Eye,1996,101,"['Crime', 'Drama', 'Thriller']",6.2,18140.0,['nm0772259']
tt0116271,Fallait pas!...,1996,95,['Comedy'],5.3,434.0,['nm0432040']
tt0116282,Fargo,1996,98,"['Crime', 'Thriller']",8.1,697253.0,"['nm0001054', 'nm0001053']"
tt0116315,Fistful of Flies,1996,85,"['Drama', 'Thriller']",6.5,215.0,['nm0671222']
